"region","depot","item_no","tms","ams","month","year"
"jags","FUNT","10063228",0,0,9,2022
"SW","ABEOKUTA","10040447",8.878,4.439,1,2022
"SW","ABEOKUTA","10040447",9.31392857142857,4.65696428571429,2,2022
"SW","ABEOKUTA","10040447",10.2441290322581,5.12206451612903,3,2022
"SW","ABEOKUTA","10040447",10.8218,5.4109,4,2022
"SW","ABEOKUTA","10040447",6.61006451612903,3.30503225806452,5,2022
"SW","ABEOKUTA","10040447",8.26966666666667,4.13483333333333,6,2022
"SW","ABEOKUTA","10040447",8.89735483870968,4.44867741935484,7,2022
"SW","ABEOKUTA","10040447",5.17290322580645,2.58645161290323,8,2022
"SW","ABEOKUTA","10040447",4.17866666666667,2.08933333333333,9,2022
"SW","ABEOKUTA","10040447",2.66387096774194,1.33193548387097,10,2022
"SW","ABEOKUTA","10040447",2.6014,1.3007,11,2022
"SW","ABEOKUTA","10040447",3.86380952380952,1.93190476190476,12,2022
"SW","ABEOKUTA","10056877",19.9594,9.9797,1,2022
"SW","ABEOKUTA","10056877",21.7627142857143,10.8813571428571,2,2022
"SW","ABEOKUTA","10056877",50.6335483870968,25.3167741935484,3,2022
"SW","ABEOKUTA","10056877",44.6698666666667,22.3349333333333,4,2022
"SW","ABEOKUTA","10056877",20.1861290322581,10.093064516129,5,2022
"SW","ABEOKUTA","10056877",49.4536666666667,24.7268333333333,6,2022
"SW","ABEOKUTA","10056877",45.3533548387097,22.6766774193548,7,2022
"SW","ABEOKUTA","10056877",35.7465161290323,17.8732580645161,8,2022
"SW","ABEOKUTA","10056877",35.402,17.701,9,2022
"SW","ABEOKUTA","10056877",28.9407096774194,14.4703548387097,10,2022
"SW","ABEOKUTA","10056877",49.8254666666667,24.9127333333333,11,2022
"SW","ABEOKUTA","10056877",57,28.5,12,2022
"SW","ABEOKUTA","10063228",0,0,1,2022
"SW","ABEOKUTA","10063228",0,0,2,2022
"SW","ABEOKUTA","10063228",0,0,3,2022
"SW","ABEOKUTA","10063228",0,0,4,2022
"SW","ABEOKUTA","10063228",0,0,5,2022
"SW","ABEOKUTA","10063228",0,0,6,2022
"SW","ABEOKUTA","10063228",0,0,7,2022
"SW","ABEOKUTA","10063228",0,0,8,2022
"SW","ABEOKUTA","10063228",0.00166666666666667,0.000833333333333333,9,2022
"SW","ABEOKUTA","10063228",0,0,10,2022
"SW","ABEOKUTA","10063228",0,0,11,2022
"SW","ABEOKUTA","10063228",0,0,12,2022
"SW","ABEOKUTA","10080907",67.3124,33.6562,1,2022
"SW","ABEOKUTA","10080907",72.3861428571429,36.1930714285714,2,2022
"SW","ABEOKUTA","10080907",72.9564516129032,36.4782258064516,3,2022
"SW","ABEOKUTA","10080907",80.4896,40.2448,4,2022
"SW","ABEOKUTA","10080907",63.7623870967742,31.8811935483871,5,2022
"SW","ABEOKUTA","10080907",45.0743333333333,22.5371666666667,6,2022
"SW","ABEOKUTA","10080907",38.1141935483871,19.0570967741935,7,2022
"SW","ABEOKUTA","10080907",43.8332258064516,21.9166129032258,8,2022
"SW","ABEOKUTA","10080907",59.3386666666667,29.6693333333333,9,2022
"SW","ABEOKUTA","10080907",51.6409677419355,25.8204838709677,10,2022
"SW","ABEOKUTA","10080907",28.7578,14.3789,11,2022
"SW","ABEOKUTA","10080907",35.3800952380952,17.6900476190476,12,2022
"SW","ABEOKUTA","10081184",0,0,1,2022
"SW","ABEOKUTA","10081184",0,0,2,2022
"SW","ABEOKUTA","10081184",0,0,3,2022
"SW","ABEOKUTA","10081184",0,0,4,2022
"SW","ABEOKUTA","10081184",0,0,5,2022
"SW","ABEOKUTA","10081184",0,0,6,2022
"SW","ABEOKUTA","10081184",0,0,7,2022
"SW","ABEOKUTA","10081184",0,0,8,2022
"SW","ABEOKUTA","10081184",0,0,9,2022
"SW","ABEOKUTA","10081184",0,0,10,2022
"SW","ABEOKUTA","10081184",0,0,11,2022
"SW","ABEOKUTA","10081184",0,0,12,2022
"SW","ABEOKUTA","10090361",0,0,1,2022
"SW","ABEOKUTA","10090361",0,0,2,2022
"SW","ABEOKUTA","10090361",0,0,3,2022
"SW","ABEOKUTA","10090361",0,0,4,2022
"SW","ABEOKUTA","10090361",0,0,5,2022
"SW","ABEOKUTA","10090361",0,0,6,2022
"SW","ABEOKUTA","10090361",0,0,7,2022
"SW","ABEOKUTA","10090361",0,0,8,2022
"SW","ABEOKUTA","10090361",0,0,9,2022
"SW","ABEOKUTA","10090361",0,0,10,2022
"SW","ABEOKUTA","10090361",0,0,11,2022
"SW","ABEOKUTA","10090361",0,0,12,2022
"SW","ABEOKUTA","10097797",0,0,1,2022
"SW","ABEOKUTA","10097797",0,0,2,2022
"SW","ABEOKUTA","10097797",0,0,3,2022
"SW","ABEOKUTA","10097797",0,0,4,2022
"SW","ABEOKUTA","10097797",0,0,5,2022
"SW","ABEOKUTA","10097797",0,0,6,2022
"SW","ABEOKUTA","10097797",0,0,7,2022
"SW","ABEOKUTA","10097797",0,0,8,2022
